Co,Fe,Mn,V,Cu,target
0.35,0.1,0.14,0.35,0.06,2.48428
0.06,0.15,0.14,0.35,0.3,1.46012
0.35,0.11,0.12,0.35,0.07,1.74953
0.06,0.15,0.14,0.35,0.3,1.15708
0.35,0.1,0.14,0.34,0.07,22.26087
0.06,0.15,0.14,0.35,0.3,1.67825
0.06,0.15,0.1,0.34,0.35,1.32727
0.07,0.15,0.35,0.27,0.16,0.51509
0.35,0.15,0.05,0.26,0.19,0.50014
0.28,0.14,0.07,0.35,0.16,1.34924
0.07,0.15,0.27,0.35,0.16,0.48707
0.35,0.1,0.06,0.33,0.16,0.26758
0.06,0.1,0.35,0.33,0.16,1.10303
0.06,0.15,0.32,0.31,0.16,0.93145
0.31,0.14,0.06,0.34,0.15,0.82289
0.2,0.14,0.21,0.15,0.3,0.54365
0.2,0.05,0.35,0.34,0.06,158.0
0.31,0.14,0.21,0.28,0.06,88.28571
0.3,0.05,0.21,0.16,0.28,0.58969
0.17,0.14,0.35,0.28,0.06,0.74229
0.24,0.15,0.22,0.33,0.06,54.4
0.21,0.13,0.24,0.08,0.34,0.15433
0.2,0.1,0.21,0.17,0.32,0.35872
0.26,0.15,0.3,0.09,0.2,0.1817
0.28,0.14,0.06,0.35,0.17,0.82332
0.08,0.15,0.35,0.35,0.07,0.97981
0.35,0.15,0.35,0.1,0.05,0.17975
0.18,0.12,0.29,0.35,0.06,1.09213
0.14,0.15,0.34,0.31,0.06,0.97101
0.17,0.1,0.34,0.33,0.06,4.28972
0.14,0.15,0.29,0.35,0.07,0.91537
0.06,0.15,0.35,0.09,0.35,0.32272
0.34,0.05,0.21,0.35,0.05,136.33333
0.12,0.15,0.35,0.31,0.07,0.45378
0.06,0.15,0.16,0.35,0.28,0.90132
0.21,0.15,0.22,0.35,0.07,0.95019
0.06,0.15,0.25,0.19,0.35,0.15621
0.3,0.12,0.16,0.35,0.07,1.19113
0.17,0.15,0.29,0.32,0.07,0.581
0.28,0.06,0.26,0.34,0.06,48.0
0.35,0.05,0.19,0.35,0.06,21.93333
0.25,0.13,0.19,0.34,0.09,31.73333
0.35,0.08,0.16,0.35,0.06,219.0
0.34,0.06,0.2,0.34,0.06,22.89474
0.35,0.07,0.17,0.35,0.06,297.0
0.25,0.14,0.19,0.33,0.09,25.03704
0.35,0.09,0.15,0.35,0.06,8.86885
0.35,0.2,0.05,0.18,0.22,0.38899
0.08,0.25,0.2,0.22,0.25,0.27277
0.1,0.25,0.2,0.22,0.23,0.39269
0.12,0.25,0.19,0.19,0.25,0.218
0.1,0.27,0.18,0.2,0.25,0.34707
0.1,0.25,0.21,0.19,0.25,0.18936
0.1,0.27,0.2,0.18,0.25,0.27708
0.1,0.24,0.2,0.21,0.25,0.22487
0.34,0.16,0.12,0.05,0.33,0.10209
0.14,0.16,0.14,0.3,0.26,0.55369
0.15,0.16,0.17,0.26,0.26,0.63133
0.15,0.16,0.14,0.3,0.25,0.49238
0.14,0.15,0.14,0.31,0.26,1.22625
0.15,0.16,0.14,0.29,0.26,0.5974
0.15,0.15,0.14,0.3,0.26,1.2553
0.14,0.17,0.14,0.29,0.26,0.66379
0.09,0.29,0.2,0.25,0.17,0.80119
0.09,0.29,0.16,0.31,0.15,0.757
0.08,0.31,0.19,0.26,0.16,0.4344
0.07,0.29,0.21,0.26,0.17,1.79642
0.08,0.29,0.19,0.29,0.15,1.46862
0.11,0.29,0.19,0.24,0.17,0.46299
0.09,0.29,0.17,0.3,0.15,1.43753
0.1,0.29,0.19,0.26,0.16,0.74794
0.35,0.21,0.19,0.05,0.2,0.23825
0.2,0.06,0.2,0.34,0.2,2.00469
0.35,0.05,0.18,0.24,0.18,0.66135
0.21,0.06,0.2,0.31,0.22,2.38136
0.21,0.06,0.19,0.33,0.21,2.85714
0.21,0.06,0.2,0.33,0.2,1.17895
0.21,0.06,0.19,0.34,0.2,1.19436
0.2,0.06,0.19,0.35,0.2,2.72794
0.09,0.29,0.2,0.26,0.16,0.82481
0.25,0.18,0.07,0.35,0.15,0.42537
0.1,0.35,0.16,0.21,0.18,0.19794
0.07,0.25,0.18,0.34,0.16,1.90352
0.07,0.28,0.18,0.28,0.19,0.88161
0.06,0.26,0.2,0.31,0.17,0.22238
0.09,0.25,0.19,0.31,0.16,0.69062
0.09,0.29,0.18,0.27,0.17,0.33037
